model_key,model_name,output_kind,band_index,band,global_mae_mean,global_mae_median,global_rmse_mean,global_psnr_mean,global_bias_mean,mask_mae_mean,mask_mae_median,mask_rmse_mean,mask_psnr_mean,mask_bias_mean,n_samples,n_mask_valid
baseline,Baseline Multi-Temporal ResUNet,raw,3,B4,0.0246318678012661,0.024815509095788002,0.029276127376457833,31.521516265691577,-0.0031502385609201156,0.02221838465284107,0.01810419000685215,0.02597260443406723,33.60002450374871,-0.010452008472610238,192,141
baseline,Baseline Multi-Temporal ResUNet,raw,4,B5,0.021618157068587607,0.017435824498534203,0.02591940491765854,33.01324085066712,0.004552882609762794,0.02071685732031862,0.013962103053927422,0.023986317716235255,34.57720084103379,-0.008976530820201068,192,141
baseline,Baseline Multi-Temporal ResUNet,raw,5,B6,0.018417992726123582,0.016604903154075146,0.02329268416603251,33.56983410981121,0.0046637466390772415,0.017783400118813342,0.012225672602653503,0.020749323154150495,35.621623906968146,-0.002474643487370976,192,141
baseline,Baseline Multi-Temporal ResUNet,raw,6,B7,0.02191074819226439,0.019875917583703995,0.02774091871348598,32.251831812514276,0.009797263766813558,0.020619359748365346,0.014825107529759407,0.02383070097729929,34.181258223887525,-0.0067180037018157715,192,141
baseline,Baseline Multi-Temporal ResUNet,raw,7,B8,0.02212231411249377,0.0196802020072937,0.028364081314066425,31.891562206232972,0.0028136558800421576,0.02232349783938431,0.015113351866602898,0.02624826721324129,33.48887262335871,-0.009294450808983586,192,141
baseline,Baseline Multi-Temporal ResUNet,raw,8,B8A,0.022548668952367734,0.02096661552786827,0.028357918786544662,31.86221241794625,0.007113667301685685,0.021484923175806907,0.016110632568597794,0.02488126927909055,33.697796588651656,-0.004813085857968801,192,141
baseline,Baseline Multi-Temporal ResUNet,raw,9,B9,0.01613924243186678,0.01486020814627409,0.020066395811833598,34.486702816144025,0.0031891713269942557,0.02118944979754957,0.015179549343883991,0.023987534018648837,34.4872172329489,0.007416812834496683,192,141
baseline,Baseline Multi-Temporal ResUNet,raw,10,B10,0.00939794396678432,0.007850839523598552,0.010927052836753623,40.64106338681969,0.008862337825424524,0.008395262407667354,0.006995229981839657,0.009227158480215688,42.97728622860658,0.005835094587485832,192,141
baseline,Baseline Multi-Temporal ResUNet,raw,11,B11,0.030299014404590707,0.028911822475492954,0.03673054087388058,29.81408831190922,-0.015737105851561257,0.03129700998650164,0.02053179033100605,0.036087790722862445,31.521560728128005,-0.012805839781715463,192,141
baseline,Baseline Multi-Temporal ResUNet,raw,12,B12,0.03121577262087764,0.03047783672809601,0.0375154498348517,29.664723022970406,-0.014426741114220931,0.02898805086824594,0.01831667125225067,0.03344061345906529,32.17868073508859,-0.01253357273856746,192,141
conditional,Conditional GAN dengan Patch Discriminator,blended,0,B1,0.006681199059433614,0.005607824306935072,0.00827713827614692,43.16420868824975,-0.0016760720172896981,0.011802765070163507,0.00882322620600462,0.014390166913986506,38.891991350998175,0.0005099809812055735,192,141
conditional,Conditional GAN dengan Patch Discriminator,blended,1,B2,0.006647703989680546,0.005859130993485451,0.007963365582327242,43.37479598313268,-0.0010330349468858913,0.011940698038641336,0.008816503919661045,0.01403640853059155,38.782066160096576,0.00509174759384655,192,141
conditional,Conditional GAN dengan Patch Discriminator,blended,2,B3,0.00651233517419314,0.005803672596812248,0.007862181926611811,43.24911797140562,-0.0009558467912332466,0.012431043201846117,0.009139708243310452,0.01466033679238641,38.359376686734436,0.005919870071411166,192,141
conditional,Conditional GAN dengan Patch Discriminator,blended,3,B4,0.007343923215861044,0.006317237624898553,0.009306519024297208,42.01436617465078,-0.0008155873062302513,0.01750674428325807,0.0126953125,0.020301045911430726,35.60700153727171,0.007352173990976224,192,141
