output_kind,model_key,metric,n,mean,median,std,min,q1,q3,max,ci95_low,ci95_high
raw,conditional,rgb_global_ssim_standard,192,0.910462013267295,0.922913667765562,0.048522914809927375,0.7276760406722533,0.8855423074933035,0.9480342819859927,0.9947403427811452,0.9035984073750877,0.9173256191595024
raw,conditional,rgb_global_rmse,192,0.023606549756018235,0.0216502479281371,0.010351110623089849,0.0059910485842085,0.017056947156176977,0.02830527114630945,0.070199520389551,0.022142376712378366,0.025070722799658104
raw,conditional,band13_global_rmse,192,0.02774322937529433,0.02700946124715805,0.011680426457526647,0.0043893285085419,0.018316665564245323,0.036157022707122045,0.0545130067735578,0.026091023522216185,0.029395435228372478
raw,conditional,rgb_global_pearson,192,0.8230287780371862,0.8663509447199083,0.13194766447196998,0.3334067690485441,0.7539399119735721,0.9141376783801715,0.9922121534584316,0.8043646732347368,0.8416928828396356
raw,conditional,band13_global_pearson,192,0.9167261580791527,0.9589120921335692,0.07969033860527393,0.6758792418376107,0.8531663739731312,0.9752258002945923,0.9952978885330296,0.9054538946599887,0.9279984214983167
raw,conditional,rgb_global_mse,192,0.0006638566330818317,0.00046873324704275283,0.0006628625725000288,3.589266313834667e-05,0.00029093969634787535,0.0008012460121329558,0.004927972662922987,0.00057009418133802,0.0007576190848256435
raw,conditional,band13_global_mse,192,0.0009054085531799366,0.0007295109994117279,0.0006866944591145825,1.926620475589866e-05,0.00033550044713875617,0.0013073303274163703,0.0029716679074939583,0.0008082750616288336,0.0010025420447310395
raw,conditional,rgb_mask_mse,141,0.000698853874035851,0.00029442231569722245,0.0010714249953696286,1.640359697597335e-05,0.0001497611649233934,0.0006879855590937034,0.006331246792553645,0.0005220025608825242,0.0008757051871891778
raw,conditional,rgb_mask_rmse,141,0.021925172564887293,0.017158738756016492,0.014822241050684326,0.004050135426868261,0.01223769442842047,0.026229478818567926,0.07956913215910831,0.01947858712491971,0.024371758004854877
raw,conditional,band13_mask_mse,141,0.0010541056616177665,0.0004713297759831116,0.0017128552448995747,1.7035686884269568e-05,0.00023031399551041662,0.001033563636873007,0.010238615235306668,0.0007713787319575628,0.0013368325912779702
raw,conditional,band13_mask_rmse,141,0.026765864903962263,0.021710130722386534,0.01844196948655927,0.004127431027197132,0.015176099482753025,0.0321490845417565,0.10118604269021823,0.023721800657816483,0.029809929150108043
