output_kind,metric,metric_group,model_key,model_name,mean,median,std,q1,q3,n_samples,direction,rank
raw,rgb_global_ssim_standard,raw_diagnostic,baseline,Baseline Multi-Temporal ResUNet,0.8954729166074271,0.9070048981103208,0.0580513876609871,0.85282040193608,0.9441696014340332,192,higher_is_better,2
raw,rgb_global_ssim_standard,raw_diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.7239350795226569,0.7463391525713605,0.1593149986190969,0.590584109207287,0.858084124042344,192,higher_is_better,3
raw,rgb_global_ssim_standard,raw_diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.910462013267295,0.922913667765562,0.0485229148099273,0.8855423074933035,0.9480342819859928,192,higher_is_better,1
raw,rgb_global_ssim_legacy_global_statistics,raw_diagnostic,baseline,Baseline Multi-Temporal ResUNet,0.8084816304431189,0.8689206118837172,0.1507400474909438,0.6904988587678974,0.9212765704950228,192,higher_is_better,2
raw,rgb_global_ssim_legacy_global_statistics,raw_diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.5309894707593856,0.5455655841349255,0.2835136882284925,0.2860403541223058,0.8067903230443423,192,higher_is_better,3
raw,rgb_global_ssim_legacy_global_statistics,raw_diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.8668688270979233,0.8962725737268558,0.0927800527421255,0.8183650891490133,0.9308000999878128,192,higher_is_better,1
raw,rgb_global_rmse,raw_diagnostic,baseline,Baseline Multi-Temporal ResUNet,0.0289111589406492,0.0238253443380253,0.0174868812893067,0.0169072512405568,0.0335032932692301,192,lower_is_better,2
raw,rgb_global_rmse,raw_diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.0646279385592387,0.0463048608485959,0.0461693534553491,0.0279043349827245,0.0872345937727877,192,lower_is_better,3
raw,rgb_global_rmse,raw_diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.0236065497560182,0.0216502479281371,0.0103511106230898,0.0170569471561769,0.0283052711463094,192,lower_is_better,1
raw,band13_global_rmse,raw_diagnostic,baseline,Baseline Multi-Temporal ResUNet,0.029415228850652,0.0274330485853407,0.0142153785918768,0.0177611822337325,0.0384683263718028,192,lower_is_better,2
raw,band13_global_rmse,raw_diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.0780956137130982,0.0742663890638571,0.0377881551067461,0.0495902149595038,0.1016965381526126,192,lower_is_better,3
raw,band13_global_rmse,raw_diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.0277432293752943,0.027009461247158,0.0116804264575266,0.0183166655642453,0.036157022707122,192,lower_is_better,1
raw,rgb_global_pearson,raw_diagnostic,baseline,Baseline Multi-Temporal ResUNet,0.7466650413267318,0.8292180132929543,0.2091189400292189,0.6202358548962151,0.9036071368216322,192,higher_is_better,2
raw,rgb_global_pearson,raw_diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.4216918015675291,0.39462124538171,0.3510345206930695,0.197272470552637,0.7287208569918372,192,higher_is_better,3
raw,rgb_global_pearson,raw_diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.8230287780371862,0.8663509447199083,0.1319476644719699,0.7539399119735721,0.9141376783801716,192,higher_is_better,1
raw,band13_global_pearson,raw_diagnostic,baseline,Baseline Multi-Temporal ResUNet,0.9094817971715212,0.9569201971669468,0.0893495582433047,0.8500889846146489,0.9754569013777884,192,higher_is_better,2
raw,band13_global_pearson,raw_diagnostic,gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,0.688701304720555,0.7335229048185304,0.2248645198418357,0.5871701230575919,0.8602263788931301,192,higher_is_better,3
raw,band13_global_pearson,raw_diagnostic,conditional,GAN Multi-Temporal ResUNet dengan Conditional Patch Discriminator,0.9167261580791528,0.9589120921335692,0.0796903386052739,0.8531663739731312,0.9752258002945924,192,higher_is_better,1
