model_key,model_label,output_kind,metric,mean,median,std,q1,q3,n_total_samples,n_mask_valid_samples
conditional,Conditional Patch GAN,blended,rgb_global_rmse,0.008475012403,0.00731588007533,0.00553964758243,0.00560752346096,0.00943302322913,192,141
conditional,Conditional Patch GAN,raw,rgb_global_rmse,0.023606549756,0.0216502479281,0.0103511106231,0.0170569471562,0.0283052711463,192,141
baseline,ResUNet,blended,rgb_global_ssim_legacy_global_statistics,0.979724237128,0.990453905141,0.0267187907559,0.975418496705,0.995223202373,192,141
baseline,ResUNet,raw,rgb_global_ssim_legacy_global_statistics,0.808481630443,0.868920611884,0.150740047491,0.690498858768,0.921276570495,192,141
gan_resnet,GAN ResNet-like,blended,rgb_global_ssim_legacy_global_statistics,0.970958205283,0.988703186823,0.0468580020212,0.969758455216,0.994317689069,192,141
gan_resnet,GAN ResNet-like,raw,rgb_global_ssim_legacy_global_statistics,0.530989470759,0.545565584135,0.283513688228,0.286040354122,0.806790323044,192,141
conditional,Conditional Patch GAN,blended,rgb_global_ssim_legacy_global_statistics,0.980971936804,0.990705656947,0.0262828756022,0.977263151052,0.995309662455,192,141
conditional,Conditional Patch GAN,raw,rgb_global_ssim_legacy_global_statistics,0.866868827098,0.896272573727,0.0927800527421,0.818365089149,0.930800099988,192,141
baseline,ResUNet,blended,rgb_global_ssim_standard,0.983602170247,0.991173718284,0.0222690233403,0.982901626737,0.995752078246,192,141
baseline,ResUNet,raw,rgb_global_ssim_standard,0.895472916607,0.90700489811,0.058051387661,0.852820401936,0.944169601434,192,141
gan_resnet,GAN ResNet-like,blended,rgb_global_ssim_standard,0.977438261299,0.990136339021,0.0350605144276,0.980898386179,0.995336146624,192,141
gan_resnet,GAN ResNet-like,raw,rgb_global_ssim_standard,0.723935079523,0.746339152571,0.159314998619,0.590584109207,0.858084124042,192,141
conditional,Conditional Patch GAN,blended,rgb_global_ssim_standard,0.984539572551,0.991286327278,0.0214329289686,0.984402508199,0.995748132401,192,141
conditional,Conditional Patch GAN,raw,rgb_global_ssim_standard,0.910462013267,0.922913667766,0.0485229148099,0.885542307493,0.948034281986,192,141
baseline,ResUNet,blended,rgb_mask_mae,0.0150885239872,0.0111992886113,0.0134532099774,0.00881221934286,0.0153757929336,192,141
baseline,ResUNet,raw,rgb_mask_mae,0.0175040489517,0.0130809082714,0.0148748462235,0.00862398451161,0.0210931588496,192,141
gan_resnet,GAN ResNet-like,blended,rgb_mask_mae,0.0174445584748,0.0144712810538,0.0115171135244,0.0109328785057,0.0181268196399,192,141
gan_resnet,GAN ResNet-like,raw,rgb_mask_mae,0.0248798868253,0.0210485156803,0.014563651457,0.015261585648,0.029440289078,192,141
conditional,Conditional Patch GAN,blended,rgb_mask_mae,0.0139589377288,0.0103016149703,0.0127127500414,0.00798694612309,0.0141865647501,192,141
conditional,Conditional Patch GAN,raw,rgb_mask_mae,0.0177880427967,0.0132026568767,0.0136276645578,0.00950658343958,0.0217762756091,192,141
baseline,ResUNet,blended,rgb_mask_psnr,36.2968485053,37.2698541127,4.49656000186,34.0367016003,38.8504329703,192,141
baseline,ResUNet,raw,rgb_mask_psnr,35.0414843043,35.4037880456,5.44375221931,31.323934961,38.6565355041,192,141
gan_resnet,GAN ResNet-like,blended,rgb_mask_psnr,34.2093315137,34.6021732751,3.90538543833,32.56778285,36.7819928137,192,141
gan_resnet,GAN ResNet-like,raw,rgb_mask_psnr,31.3154892852,31.4032149963,4.20160763173,28.8318979828,34.444895881,192,141
conditional,Conditional Patch GAN,blended,rgb_mask_psnr,36.9843118954,38.0456911741,4.59900627109,34.907352018,39.9774449761,192,141
conditional,Conditional Patch GAN,raw,rgb_mask_psnr,34.8164884276,35.310292758,5.26867142348,31.6242067757,38.2460079042,192,141
