model_key,model_label,output_kind,band_index,band,n_samples,n_mask_valid_samples,global_mae_mean,global_mae_median,global_mae_std,global_rmse_mean,global_rmse_median,global_rmse_std,global_psnr_mean,global_psnr_median,global_psnr_std,global_bias_mean,global_bias_median,global_bias_std,mask_mae_mean,mask_mae_median,mask_mae_std,mask_rmse_mean,mask_rmse_median,mask_rmse_std,mask_psnr_mean,mask_psnr_median,mask_psnr_std,mask_bias_mean,mask_bias_median,mask_bias_std
gan_resnet,GAN ResNet-like,blended,5,B6,192,141,0.0115188836062,0.00888869352639,0.00688167065046,0.0145995686071,0.0119425016455,0.00846181062706,37.985831229,38.4580984921,4.68961479176,-0.00249929280714,-0.00298453401774,0.00974001595595,0.0204572544321,0.0177585091442,0.0118342109693,0.0238945652951,0.0213575732577,0.0123677302744,33.4781546225,33.4089619061,4.38093857959,0.00500914299258,0.00486609246582,0.0193748764286
gan_resnet,GAN ResNet-like,blended,6,B7,192,141,0.0126175585986,0.0097880824469,0.00741947531902,0.016136255456,0.0130807165988,0.0091827745916,37.1638400819,37.6675789431,4.83887898693,-0.00313503809836,-0.00371783482842,0.0106118481842,0.0215982454598,0.0189072676003,0.0125265244131,0.0254272081985,0.0224929858221,0.0130584180062,32.8305931114,32.9590578099,4.05063708068,0.00392964038337,0.00166748883203,0.0204255337133
gan_resnet,GAN ResNet-like,blended,7,B8,192,141,0.0132442922016,0.0105770728551,0.00769516716763,0.0171374280108,0.0146364141256,0.00942779786715,36.5880998012,36.691760236,4.76581405485,-0.00261369925162,-0.00321402167901,0.0107335616913,0.0254991040829,0.0207697413862,0.0146453073072,0.0296674698658,0.0252764385474,0.0148760877746,31.3691425212,31.9456823643,3.64189868658,0.0106335144369,0.00996401719749,0.0228143460562
gan_resnet,GAN ResNet-like,blended,8,B8A,192,141,0.0134659140143,0.0105571574531,0.00802252762795,0.0174052232809,0.0142134577036,0.00997478556845,36.5455040629,36.9460106729,4.92735602452,-0.00244766360993,-0.00315318652429,0.0113792413116,0.0247732548453,0.0208706781268,0.0145426369989,0.0290410197763,0.0257692442741,0.0151431180078,31.6345272717,31.7779663534,3.91415885551,0.00951230342503,0.00774045847356,0.022489217444
gan_resnet,GAN ResNet-like,blended,9,B9,192,141,0.00975335024365,0.00946979783475,0.00507989825532,0.0123912610616,0.0117949359119,0.00598236030482,39.2327540031,38.5660928931,4.61665332335,-0.000900862629351,-0.00208304601256,0.0089310929094,0.020628783198,0.0179347507656,0.0113964926294,0.023576372525,0.0211154716903,0.0113032048403,33.515974942,33.5079842519,4.22408747057,0.0114706889711,0.0116508882493,0.0190772603711
gan_resnet,GAN ResNet-like,blended,10,B10,192,141,0.00197176120939,0.00121688732179,0.0026617606697,0.00281243907936,0.00156364962459,0.00419112437579,56.1747191566,56.117235105,9.32575758928,-0.000907828275558,-0.000642531114863,0.00232001397248,0.00578993541483,0.00307158823125,0.00615196263414,0.00700390177491,0.00391206201853,0.00717878981367,47.6119218723,48.1518853778,9.32441569592,-0.00260611250164,-0.00105320941657,0.00750849902572
gan_resnet,GAN ResNet-like,blended,11,B11,192,141,0.0128315540672,0.00915174558759,0.00939729381452,0.0176078045297,0.0131611796096,0.0128728369665,37.1730794767,37.6141036888,6.00803413071,0.00195013115596,-0.000658907927573,0.0110552394408,0.0356379469414,0.0265517048538,0.0236263425249,0.0416430547262,0.0339726615593,0.0247876922328,29.0893724203,29.3774085473,5.26116591085,0.0176383563263,0.01012740843,0.0336397200757
gan_resnet,GAN ResNet-like,blended,12,B12,192,141,0.0115046718371,0.00896223215386,0.00871201454215,0.0158592562851,0.011795939412,0.0118415637742,38.4090895462,38.5653800364,6.69167845283,0.00386924775224,0.00102705787867,0.0099043322878,0.0331001801776,0.0254652053118,0.0230796501178,0.0381815971386,0.0308814537914,0.0253747867687,30.017772229,30.2060452556,5.42912704138,0.0188124296175,0.0124314678833,0.0319696416619
gan_resnet,GAN ResNet-like,raw,0,B1,192,141,0.0625073056969,0.0361139029264,0.0573327914719,0.0719810195854,0.0461177956313,0.0581500924355,25.7169922682,26.7226724011,7.23556360149,0.0477047037324,0.0250678732991,0.0686034398034,0.0205705473695,0.0144483223557,0.0159981579451,0.0242993245117,0.0182225465107,0.0169733995354,34.0104995874,34.7878186524,5.3859842798,-0.000917936442975,-0.00246750679798,0.023210814319
gan_resnet,GAN ResNet-like,raw,1,B2,192,141,0.0537997856712,0.0321700777858,0.0497980337785,0.0624473511659,0.0421607270837,0.0509278397632,26.6780505624,27.5018461724,6.68013816505,0.040088139683,0.0233770674095,0.0594888034444,0.0217264086051,0.0181968510151,0.0149415544014,0.025693306445,0.0227577600674,0.0160298732928,33.1674839814,32.8574097122,4.89575906727,-0.00843129377046,-0.0107780909166,0.0224319381864
gan_resnet,GAN ResNet-like,raw,2,B3,192,141,0.0483852215912,0.0285674575716,0.0430711129452,0.0577683893983,0.0410103257746,0.0436513804124,27.0234674864,27.7421372105,6.239354291,0.0348577053131,0.0156667185947,0.0524074426912,0.0226869719691,0.0194943677634,0.0140382775583,0.0271753260072,0.0242438054072,0.014975218665,32.453588703,32.3079842102,4.43554214999,-0.00988846961723,-0.0134245269001,0.022316221774
gan_resnet,GAN ResNet-like,raw,3,B4,192,141,0.0554630309586,0.0365941654891,0.0467517940449,0.0689872413301,0.0481775775552,0.0493229875608,25.237291531,26.3435768082,5.96442268477,0.0368790602394,0.0122157479636,0.057487117575,0.0302040706626,0.0237375944853,0.0206177820497,0.0356323621543,0.0293818760637,0.0212990967778,30.272921673,30.63840955,4.72023432034,-0.0161666954242,-0.0150138046592,0.0299108285046
gan_resnet,GAN ResNet-like,raw,4,B5,192,141,0.0534253490187,0.0367629341781,0.0451673383246,0.0657891448936,0.0530864838511,0.0462275879071,25.6978813797,25.5005299952,6.15923924999,0.0424547531162,0.0242266552523,0.0512766566566,0.0268662784724,0.0211181640625,0.0175252866971,0.0315032486211,0.0263423305807,0.0181981838731,31.214263227,31.5869160882,4.48663611625,-0.00940453313761,-0.00852744374424,0.0283219883349
gan_resnet,GAN ResNet-like,raw,5,B6,192,141,0.0533301214479,0.0423658210784,0.0369030363475,0.0704178852272,0.0670631453395,0.0405995508894,24.6625093649,23.4703349987,5.62145557083,0.0423156597232,0.029736014083,0.0424461943789,0.0261073835815,0.0202805288136,0.0173340942212,0.0304902028578,0.0248283403931,0.0178087392852,31.5064245192,32.1010461826,4.4244262932,-0.0116858050603,-0.0100017040968,0.0261666810881
gan_resnet,GAN ResNet-like,raw,6,B7,192,141,0.062940428065,0.0550121217966,0.0405202138139,0.0909803698839,0.0913218222558,0.0499373763088,22.4989841839,20.7885253667,5.91531342742,0.0491442431497,0.0394388996065,0.0464692206742,0.0290513343627,0.0240436643362,0.017641639322,0.0338723870479,0.0287852900212,0.0176266321306,30.3942988058,30.8165878105,4.10310563072,-0.0142066108889,-0.0130330212414,0.0274952641231
