metric,model_a,model_b,n_pairs,wilcoxon_w,raw_p_value,rank_biserial,effect_magnitude,mean_difference_a_minus_b,median_difference_a_minus_b,bootstrap_mean_ci95_low,bootstrap_mean_ci95_high,bootstrap_median_ci95_low,bootstrap_median_ci95_high,paired_t_statistic,paired_t_p_value,better_mean,holm_adjusted_p_value,holm_significant_0_05
band13_mask_mae,baseline,conditional,141,1259.0,1.2529315332480018e-14,0.7484766756567776,large,0.0014380863921660506,0.001320829490853201,0.0010047088164965648,0.0018597131332392725,0.0010029118924954998,0.0015905161384806993,6.60250799030878,7.762614653217048e-10,conditional,2.5058630664960035e-14,True
band13_mask_mae,gan_resnet,conditional,141,1141.0,1.814837695752682e-15,0.7720507441814004,large,0.004144743627726885,0.0046281790812377,0.0031423391336353476,0.005143428797888404,0.0038335759240761,0.005114790987796599,7.781110209840153,1.430171573686365e-12,conditional,5.444513087258046e-15,True
rgb_global_psnr,baseline,gan_resnet,192,5169.0,1.0885284087615839e-07,0.4420336787564767,medium,0.614220514580638,0.06761853515401839,0.4171236812806794,0.8141857266722271,0.021490950904059503,0.17315837319512184,6.0560487295973235,7.265050124501023e-09,baseline,1.0885284087615839e-07,True
rgb_global_psnr,baseline,conditional,192,2636.0,8.208755618772628e-18,-0.7154576856649395,large,-0.21774677116772403,-0.09131169582168042,-0.2724932914512462,-0.1613163307075078,-0.17441829534467335,-0.04297794157308843,-7.759171515004153,5.01432053278291e-13,conditional,2.4626266856317884e-17,True
rgb_global_psnr,gan_resnet,conditional,192,3221.0,4.58218467056838e-15,-0.6523100172711571,large,-0.831967285748362,-0.19873689399669914,-1.0312750120665717,-0.6332654719460006,-0.3570789285996838,-0.0960377922400113,-7.893746853187874,2.2306882320719352e-13,conditional,9.16436934113676e-15,True
rgb_mask_psnr,baseline,gan_resnet,141,1360.0,6.253139392406223e-14,0.7282988712416342,large,2.0875169915901206,1.975545220946188,1.6021483350808035,2.5775541806679527,1.6622411126452263,2.722332766003859,8.222889067133972,1.2198475655298713e-13,baseline,1.2506278784812446e-13,True
rgb_mask_psnr,baseline,conditional,141,1586.0,1.956541349390252e-12,-0.6831485366097293,large,-0.6874633900692064,-0.8769962040613848,-0.8736296556284318,-0.49331798291240364,-0.9725568068759571,-0.6969626948694937,-7.19718040500535,3.420626687000104e-11,conditional,1.956541349390252e-12,True
rgb_mask_psnr,gan_resnet,conditional,141,749.0,1.9499876304226573e-18,-0.8503645989411647,large,-2.7749803816593275,-2.9134073512529,-3.240503754202938,-2.3248361391856958,-3.2007388309726394,-2.1962420720791407,-11.792622217612358,1.013446369589273e-22,conditional,5.849962891267972e-18,True
band13_global_psnr,baseline,gan_resnet,192,4596.0,1.4087214920607971e-09,0.5038860103626943,large,0.5493317489170343,0.06180371195568313,0.38968854849509377,0.7244253513363622,0.020048109912259804,0.13524435251814637,6.496130580985996,6.967437215517311e-10,baseline,1.4087214920607971e-09,True
band13_global_psnr,baseline,conditional,192,3176.0,2.8743075361730287e-15,-0.657167530224525,large,-0.1902423635681564,-0.10733052786473252,-0.2465929382917775,-0.13615081864858017,-0.1440068768045606,-0.04991978473491088,-7.064811294474762,2.9224042090826355e-11,conditional,5.748615072346057e-15,True
band13_global_psnr,gan_resnet,conditional,192,2975.0,3.436021958824419e-16,-0.6788644214162349,large,-0.7395741124851907,-0.22585643911835618,-0.9205273364343651,-0.5607191132333159,-0.3187665849293779,-0.12180448810667811,-7.761118176862855,4.956151918955366e-13,conditional,1.0308065876473258e-15,True
band13_mask_psnr,baseline,gan_resnet,141,1214.0,6.038260536623095e-15,0.7574667865348117,large,1.7309700710815694,1.7826609521707724,1.3617216470882516,2.064441833387866,1.3822820385312653,2.139450793140341,9.729541350128653,2.0822436925036246e-17,baseline,1.207652107324619e-14,True
band13_mask_psnr,baseline,conditional,141,1361.0,6.352115167299375e-14,-0.7280990909999001,large,-0.6656668730201147,-0.7381420709303903,-0.8091077821085937,-0.5168620999551846,-0.8416749663432981,-0.5920131381115752,-9.14508014292622,6.283776826916227e-16,conditional,6.352115167299375e-14,True
band13_mask_psnr,gan_resnet,conditional,141,663.0,3.9937667490687954e-19,-0.8675456997302967,large,-2.396636944101684,-2.667130813117229,-2.726465283565378,-2.0387118165276474,-2.957504052979697,-2.23753317400017,-13.276760066250183,1.5042445967876294e-26,conditional,1.1981300247206386e-18,True
rgb_global_ssim_standard,baseline,gan_resnet,192,948.0,4.0085388368725676e-27,0.8976683937823834,large,0.006163908947759172,0.0007440405183417043,0.004358367178436609,0.00819512896316253,0.0003705962040722044,0.0012152410491742538,6.052598247714825,7.396839430990561e-09,baseline,8.017077673745135e-27,True
rgb_global_ssim_standard,baseline,conditional,192,1882.0,1.0226567969297084e-21,-0.7968480138169257,large,-0.000937402304226735,-0.0001929205552591018,-0.001273640844069431,-0.000642154392605714,-0.000389690180799096,-0.00010625077779724545,-5.941739544107142,1.3133775568278737e-08,conditional,1.0226567969297084e-21,True
rgb_global_ssim_standard,gan_resnet,conditional,192,293.0,2.718384611594255e-31,-0.9683721934369602,large,-0.007101311251985908,-0.0012145928161861885,-0.009383520730069888,-0.005069833494809734,-0.0018550129307703944,-0.0007012089317497416,-6.432955610537829,9.815182587790732e-10,conditional,8.155153834782765e-31,True
