split,variable,n_pixels,min,p01,p05,p25,median,mean,p75,p95,p99,max,std,quantile_method
train,S2_B1_all_t,402653184,0.09650000184774399,0.1204833984375,0.1287841796875,0.1549072265625,0.1788330078125,0.24846476572934115,0.2486572265625,0.6712646484375,0.8272705078125,1.0,0.1659026991133513,4096-bin histogram over all pixels; maximum bin error 1/4096
train,pseudo_target_B8,100663296,0.01697600446641445,0.0284423828125,0.0723876953125,0.1497802734375,0.1964111328125,0.19848557747102005,0.2481689453125,0.3248291015625,0.3778076171875,0.9928884506225586,0.07570955521105864,4096-bin histogram over all pixels; maximum bin error 1/4096
train,S2_B8A_all_t,402653184,9.999999747378752e-05,0.0347900390625,0.1082763671875,0.1903076171875,0.2547607421875,0.29764870913315716,0.3450927734375,0.6925048828125,0.8682861328125,1.0,0.17079242903032446,4096-bin histogram over all pixels; maximum bin error 1/4096
train,pseudo_target_B8A,100663296,0.011757955886423588,0.0279541015625,0.0799560546875,0.1622314453125,0.2127685546875,0.21416811638787203,0.2679443359375,0.3468017578125,0.3985595703125,0.997345507144928,0.08051254559047026,4096-bin histogram over all pixels; maximum bin error 1/4096
train,S2_B9_all_t,402653184,9.999999747378752e-05,0.0162353515625,0.0443115234375,0.0760498046875,0.1026611328125,0.1543580125114421,0.1658935546875,0.5067138671875,0.6160888671875,0.9661999940872192,0.13668265759298043,4096-bin histogram over all pixels; maximum bin error 1/4096
train,pseudo_target_B9,100663296,0.002621613908559084,0.0155029296875,0.0394287109375,0.0689697265625,0.0867919921875,0.0911003710883951,0.1094970703125,0.1544189453125,0.1876220703125,0.5438527464866638,0.03558613743649019,4096-bin histogram over all pixels; maximum bin error 1/4096
train,S2_B10_all_t,402653184,9.999999747378752e-05,0.0008544921875,0.0010986328125,0.0015869140625,0.0023193359375,0.02945862980001759,0.0306396484375,0.1343994140625,0.3612060546875,0.6444000005722046,0.06582212427847708,4096-bin histogram over all pixels; maximum bin error 1/4096
train,pseudo_target_B10,100663296,0.0006069875089451671,0.0013427734375,0.0013427734375,0.0018310546875,0.0028076171875,0.004539465558697908,0.0045166015625,0.0101318359375,0.0360107421875,0.30267417430877686,0.007521231740712443,4096-bin histogram over all pixels; maximum bin error 1/4096
train,S2_B11_all_t,402653184,0.0010000000474974513,0.0174560546875,0.0855712890625,0.1690673828125,0.2288818359375,0.23716193209197964,0.2982177734375,0.4146728515625,0.5067138671875,1.0,0.10108701081141404,4096-bin histogram over all pixels; maximum bin error 1/4096
train,pseudo_target_B11,100663296,0.0037831258960068226,0.0128173828125,0.0589599609375,0.1407470703125,0.2042236328125,0.2111731625797808,0.2757568359375,0.3807373046875,0.4398193359375,1.0,0.09685357784862589,4096-bin histogram over all pixels; maximum bin error 1/4096
train,S2_B12_all_t,402653184,9.999999747378752e-05,0.0115966796875,0.0633544921875,0.1329345703125,0.1939697265625,0.20029739838296434,0.2606201171875,0.3607177734375,0.4366455078125,1.0,0.09262923428842358,4096-bin histogram over all pixels; maximum bin error 1/4096
train,pseudo_target_B12,100663296,0.001823786529712379,0.0101318359375,0.0377197265625,0.1029052734375,0.1636962890625,0.16966676018435076,0.2276611328125,0.3223876953125,0.3753662109375,1.0,0.08569042713303915,4096-bin histogram over all pixels; maximum bin error 1/4096
train,S1_VV_all_t,402653184,0.0,0.3143310546875,0.4141845703125,0.5272216796875,0.5938720703125,0.5947138346696094,0.6605224609375,0.7791748046875,0.8892822265625,1.0,0.11106198757415936,4096-bin histogram over all pixels; maximum bin error 1/4096
train,S1_VH_all_t,402653184,0.0,0.0477294921875,0.1685791015625,0.2891845703125,0.3668212890625,0.36537825336869784,0.4439697265625,0.5570068359375,0.6519775390625,1.0,0.11969081240393126,4096-bin histogram over all pixels; maximum bin error 1/4096
train,cloud_probability_t0,100663296,0.015428567305207253,0.0230712890625,0.0303955078125,0.0543212890625,0.0770263671875,0.11268986580026996,0.1024169921875,0.5145263671875,0.6661376953125,0.8682889342308044,0.13287723279131494,4096-bin histogram over all pixels; maximum bin error 1/4096
train,cloud_probability_t1,100663296,0.018879199400544167,0.0335693359375,0.0496826171875,0.0736083984375,0.1082763671875,0.22023084151943895,0.3153076171875,0.6444091796875,0.6978759765625,0.8388501405715942,0.21222631378315884,4096-bin histogram over all pixels; maximum bin error 1/4096
train,cloud_probability_t2,100663296,0.0065207635052502155,0.0208740234375,0.0247802734375,0.0518798828125,0.0836181640625,0.1065023440417436,0.1036376953125,0.4371337890625,0.6351318359375,0.8683285713195801,0.12027448374730124,4096-bin histogram over all pixels; maximum bin error 1/4096
train,cloud_probability_t3,100663296,0.030900821089744568,0.0709228515625,0.0870361328125,0.1324462890625,0.3341064453125,0.3832285306711989,0.6375732421875,0.7310791015625,0.7669677734375,0.8655887842178345,0.24242967155757342,4096-bin histogram over all pixels; maximum bin error 1/4096
train,soft_cloud_mask_t0,100663296,0.0,0.0001220703125,0.0001220703125,0.0001220703125,0.0106201171875,0.16489596024629624,0.1839599609375,0.9998779296875,0.9998779296875,1.0,0.2929361209711451,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,S2_B1_all_t,50331648,0.09910000115633011,0.1209716796875,0.1287841796875,0.1527099609375,0.1756591796875,0.2485843117585745,0.2464599609375,0.6947021484375,0.8289794921875,1.0,0.17083962014755164,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,pseudo_target_B1,12582912,0.10613089054822922,0.1221923828125,0.1265869140625,0.1414794921875,0.1558837890625,0.16096627279543915,0.1768798828125,0.2054443359375,0.2276611328125,0.7144531607627869,0.029041255743589494,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,S2_B2_all_t,50331648,0.044199999421834946,0.0897216796875,0.0994873046875,0.1317138671875,0.1595458984375,0.23005120020861924,0.2286376953125,0.6846923828125,0.8245849609375,1.0,0.17420618612928437,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,pseudo_target_B2,12582912,0.06794904172420502,0.0909423828125,0.0960693359375,0.1143798828125,0.1348876953125,0.13982863710956828,0.1593017578125,0.1986083984375,0.2274169921875,0.5248058438301086,0.03477637139691051,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,S2_B3_all_t,50331648,9.999999747378752e-05,0.0677490234375,0.0828857421875,0.1229248046875,0.1578369140625,0.2189736640976109,0.2318115234375,0.6422119140625,0.7799072265625,1.0,0.16401778838014644,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,pseudo_target_B3,12582912,0.041608501225709915,0.0684814453125,0.0765380859375,0.0997314453125,0.1280517578125,0.13375171300585928,0.1597900390625,0.2125244140625,0.2498779296875,0.4950793385505676,0.04383038642480455,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,S2_B4_all_t,50331648,0.024299999698996544,0.0484619140625,0.0697021484375,0.1326904296875,0.1829833984375,0.24012571070247601,0.2747802734375,0.6827392578125,0.8382568359375,1.0,0.17605599462027086,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,pseudo_target_B4,12582912,0.0348830372095108,0.0469970703125,0.0587158203125,0.0968017578125,0.1456298828125,0.1498801706880816,0.1910400390625,0.2659912109375,0.3194580078125,0.51829594373703,0.06504637345594676,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,S2_B5_all_t,50331648,0.02070000022649765,0.0587158203125,0.0892333984375,0.1448974609375,0.1927490234375,0.25309488561063687,0.2864990234375,0.6978759765625,0.8560791015625,1.0,0.17695357020941582,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,pseudo_target_B5,12582912,0.03044406697154045,0.0440673828125,0.0765380859375,0.1143798828125,0.1578369140625,0.16393054848260244,0.2037353515625,0.2796630859375,0.3353271484375,0.7119181156158447,0.06432322391089025,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,S2_B6_all_t,50331648,0.017899999395012856,0.0660400390625,0.1097412109375,0.1727294921875,0.2222900390625,0.2776203036702994,0.3109130859375,0.7078857421875,0.8648681640625,1.0,0.1732599787775745,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,pseudo_target_B6,12582912,0.025907663628458977,0.0421142578125,0.0921630859375,0.1485595703125,0.1890869140625,0.19202436523289754,0.2320556640625,0.3043212890625,0.3602294921875,0.6941397786140442,0.0650812441205208,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,S2_B7_all_t,50331648,0.016100000590085983,0.0684814453125,0.1160888671875,0.1842041015625,0.2403564453125,0.29236247764110007,0.3323974609375,0.7193603515625,0.8765869140625,1.0,0.17407099179083468,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,pseudo_target_B7,12582912,0.02117990143597126,0.0408935546875,0.0972900390625,0.1593017578125,0.2037353515625,0.20694346834999658,0.2523193359375,0.3282470703125,0.3853759765625,0.6899247169494629,0.07087261511167323,4096-bin histogram over all pixels; maximum bin error 1/4096
validation,S2_B8_all_t,50331648,0.013500000350177288,0.0587158203125,0.1082763671875,0.1754150390625,0.2322998046875,0.2833168068608695,0.3243408203125,0.7047119140625,0.8602294921875,1.0,0.1724357321205736,4096-bin histogram over all pixels; maximum bin error 1/4096
